angle radius accuracy
-10.5085 1.5256 97.5451
-9.8305 1.5256 100.6821
-9.1525 1.5256 103.0559
-8.4746 1.5256 104.7456
-7.7966 1.5256 105.8291
-7.1186 1.5256 106.3845
-6.4407 1.5256 106.4898
-5.7627 1.5256 106.2230
-5.0847 1.5256 105.6623
-4.4068 1.5256 104.8855
-3.7288 1.5256 103.9708
-3.0508 1.5256 102.9961
-2.3729 1.5256 102.0394
-1.6949 1.5256 101.1789
-1.0169 1.5256 100.4925
-0.3390 1.5256 100.0677
0.3390 1.5256 99.9651
1.0169 1.5256 100.1883
1.6949 1.5256 100.6883
2.3729 1.5256 101.3818
3.0508 1.5256 102.1947
3.7288 1.5256 103.0530
4.4068 1.5256 103.8824
5.0847 1.5256 104.6090
5.7627 1.5256 105.1585
6.4407 1.5256 105.4569
7.1186 1.5256 105.4299
7.7966 1.5256 105.0036
8.4746 1.5256 104.1038
9.1525 1.5256 102.6564
9.8305 1.5256 100.5870
10.5085 1.5256 97.8032
11.1864 1.5256 94.3268
11.8644 1.5256 90.2204
12.5424 1.5256 85.5322
13.2203 1.5256 80.3103
13.8983 1.5256 74.6031
14.5763 1.5256 68.4587
15.2542 1.5256 61.9252
15.9322 1.5256 55.0510
16.6102 1.5256 47.8843
17.2881 1.5256 40.4731
17.9661 1.5256 32.8658
18.6441 1.5256 25.1106
19.3220 1.5256 17.2556
20.0000 1.5256 9.3647
-20.0000 1.6282 -0.9400
-19.3220 1.6282 7.7810
-18.6441 1.6282 16.3264
-17.9661 1.6282 24.7358
-17.2881 1.6282 33.1599
-16.6102 1.6282 41.4146
-15.9322 1.6282 49.4042
-15.2542 1.6282 57.0756
-14.5763 1.6282 64.3760
-13.8983 1.6282 71.2522
-13.2203 1.6282 77.6514
-12.5424 1.6282 83.5205
-11.8644 1.6282 88.8066
-11.1864 1.6282 93.4565
-10.5085 1.6282 97.3997
-9.8305 1.6282 100.5560
-9.1525 1.6282 102.9172
-8.4746 1.6282 104.5762
-7.7966 1.6282 105.6274
-7.1186 1.6282 106.1505
-6.4407 1.6282 106.2235
-5.7627 1.6282 105.9244
-5.0847 1.6282 105.3314
-4.4068 1.6282 104.5223
-3.7288 1.6282 103.5752
-3.0508 1.6282 102.5682
-2.3729 1.6282 101.5871
-1.6949 1.6282 100.8762
-1.0169 1.6282 100.5598
-0.3390 1.6282 99.9977
0.3390 1.6282 99.9568
1.0169 1.6282 100.2997
1.6949 1.6282 100.4382
2.3729 1.6282 100.9853
3.0508 1.6282 101.8164
3.7288 1.6282 102.7002
4.4068 1.6282 103.5552
5.0847 1.6282 104.3072
5.7627 1.6282 104.8823
6.4407 1.6282 105.2062
7.1186 1.6282 105.2048
7.7966 1.6282 104.8040
8.4746 1.6282 103.9297
9.1525 1.6282 102.5035
9.8305 1.6282 100.4236
10.5085 1.6282 97.5848
11.1864 1.6282 93.9750
11.8644 1.6282 89.6936
12.5424 1.6282 84.8299
13.2203 1.6282 79.4325
13.8983 1.6282 73.5498
14.5763 1.6282 67.2299
15.2542 1.6282 60.5209
15.9322 1.6282 53.4712
16.6102 1.6282 46.1290
17.2881 1.6282 38.5423
17.9661 1.6282 30.7947
18.6441 1.6282 23.0436
19.3220 1.6282 15.1551
20.0000 1.6282 7.0985
-20.0000 1.7308 -1.3695
-19.3220 1.7308 7.2900
-18.6441 1.7308 16.0622
-17.9661 1.7308 24.5187
-17.2881 1.7308 32.5606
-16.6102 1.7308 40.5894
-15.9322 1.7308 48.5397
-15.2542 1.7308 56.2880
-14.5763 1.7308 63.6913
-13.8983 1.7308 70.6704
-13.2203 1.7308 77.1725
-12.5424 1.7308 83.1445
-11.8644 1.7308 88.5304
-11.1864 1.7308 93.2557
-10.5085 1.7308 97.2432
-9.8305 1.7308 100.4171
-9.1525 1.7308 102.7650
-8.4746 1.7308 104.3785
-7.7966 1.7308 105.3581
-7.1186 1.7308 105.8027
-6.4407 1.7308 105.7972
-5.7627 1.7308 105.4197
-5.0847 1.7308 104.7481
-4.4068 1.7308 103.8655
-3.7288 1.7308 102.9533
-3.0508 1.7308 102.2096
-2.3729 1.7308 101.8156
-1.6949 1.7308 101.4217
-1.0169 1.7308 100.4993
-0.3390 1.7308 99.8618
0.3390 1.7308 99.8986
1.0169 1.7308 100.4420
1.6949 1.7308 101.0947
2.3729 1.7308 101.2877
3.0508 1.7308 101.5523
3.7288 1.7308 102.1779
4.4068 1.7308 102.9916
5.0847 1.7308 103.8052
5.7627 1.7308 104.4464
6.4407 1.7308 104.8364
7.1186 1.7308 104.9012
7.7966 1.7308 104.5664
8.4746 1.7308 103.7463
9.1525 1.7308 102.3392
9.8305 1.7308 100.2433
10.5085 1.7308 97.3544
11.1864 1.7308 93.6610
11.8644 1.7308 89.2480
12.5424 1.7308 84.2038
13.2203 1.7308 78.6186
13.8983 1.7308 72.5481
14.5763 1.7308 66.0404
15.2542 1.7308 59.1436
15.9322 1.7308 51.9276
16.6102 1.7308 44.5167
17.2881 1.7308 37.0201
17.9661 1.7308 29.4982
18.6441 1.7308 21.5958
19.3220 1.7308 13.3679
20.0000 1.7308 5.2403
-20.0000 1.8333 -1.5600
-19.3220 1.8333 7.0517
-18.6441 1.8333 15.7749
-17.9661 1.8333 24.4802
-17.2881 1.8333 32.8002
-16.6102 1.8333 40.5947
-15.9322 1.8333 48.1615
-15.2542 1.8333 55.6763
-14.5763 1.8333 63.0166
-13.8983 1.8333 70.0602
-13.2203 1.8333 76.6845
-12.5424 1.8333 82.7792
-11.8644 1.8333 88.2631
-11.1864 1.8333 93.0594
-10.5085 1.8333 97.0913
-9.8305 1.8333 100.2827
-9.1525 1.8333 102.6174
-8.4746 1.8333 104.1854
-7.7966 1.8333 105.0872
-7.1186 1.8333 105.4234
-6.4407 1.8333 105.2950
-5.7627 1.8333 104.8329
-5.0847 1.8333 104.2145
-4.4068 1.8333 103.6209
-3.7288 1.8333 103.2336
-3.0508 1.8333 103.1185
-2.3729 1.8333 102.4894
-1.6949 1.8333 101.3545
-1.0169 1.8333 100.2609
-0.3390 1.8333 99.7291
0.3390 1.8333 99.8437
1.0169 1.8333 100.4549
1.6949 1.8333 101.3876
2.3729 1.8333 102.2037
3.0508 1.8333 102.5603
3.7288 1.8333 102.5553
