height radius accuracy
6.3729 2.1154 55.2296
6.5085 2.1154 51.4074
6.6441 2.1154 47.5499
6.7797 2.1154 43.5991
6.9153 2.1154 39.6847
7.0508 2.1154 35.5701
7.1864 2.1154 30.8355
7.3220 2.1154 26.0112
7.4576 2.1154 21.0663
7.5932 2.1154 15.9830
7.7288 2.1154 10.8050
7.8644 2.1154 5.5773
8.0000 2.1154 0.4351
0.0000 2.3077 99.0655
0.1356 2.3077 99.2201
0.2712 2.3077 99.2747
0.4068 2.3077 99.2798
0.5424 2.3077 99.2519
0.6780 2.3077 99.2057
0.8136 2.3077 99.1557
0.9492 2.3077 99.1168
1.0847 2.3077 99.1260
1.2203 2.3077 99.1990
1.3559 2.3077 99.2858
1.4915 2.3077 99.3757
1.6271 2.3077 99.4581
1.7627 2.3077 99.5222
1.8983 2.3077 99.5459
2.0339 2.3077 99.4899
2.1695 2.3077 99.5114
2.3051 2.3077 99.5704
2.4407 2.3077 99.6506
2.5763 2.3077 99.7531
2.7119 2.3077 99.8792
2.8475 2.3077 100.0300
2.9831 2.3077 100.1987
3.1186 2.3077 100.3220
3.2542 2.3077 100.5800
3.3898 2.3077 100.8441
3.5254 2.3077 101.0805
3.6610 2.3077 101.2635
3.7966 2.3077 101.3677
3.9322 2.3077 101.3672
4.0678 2.3077 101.1131
4.2034 2.3077 100.5934
4.3390 2.3077 99.8317
4.4746 2.3077 98.7707
4.6102 2.3077 97.3531
4.7458 2.3077 95.5213
4.8814 2.3077 93.2260
5.0169 2.3077 90.5967
5.1525 2.3077 87.6152
5.2881 2.3077 84.2976
5.4237 2.3077 80.5915
5.5593 2.3077 76.6182
5.6949 2.3077 72.4990
5.8305 2.3077 68.3551
5.9661 2.3077 64.2990
6.1017 2.3077 60.2622
6.2373 2.3077 56.3716
6.3729 2.3077 52.6585
6.5085 2.3077 49.0297
6.6441 2.3077 45.3921
6.7797 2.3077 41.6524
6.9153 2.3077 37.7453
7.0508 2.3077 33.6923
7.1864 2.3077 29.2941
7.3220 2.3077 24.7357
7.4576 2.3077 20.0075
7.5932 2.3077 15.1532
7.7288 2.3077 10.2169
7.8644 2.3077 5.2421
8.0000 2.3077 0.3006
0.0000 2.5000 100.0000
0.1356 2.5000 100.1150
0.2712 2.5000 100.1676
0.4068 2.5000 100.1726
0.5424 2.5000 100.1445
0.6780 2.5000 100.0981
0.8136 2.5000 100.0479
0.9492 2.5000 100.0088
1.0847 2.5000 99.9944
1.2203 2.5000 100.0042
1.3559 2.5000 100.0278
1.4915 2.5000 100.0545
1.6271 2.5000 100.0737
1.7627 2.5000 100.0745
1.8983 2.5000 100.0465
2.0339 2.5000 99.9809
2.1695 2.5000 99.9162
2.3051 2.5000 99.8715
2.4407 2.5000 99.8478
2.5763 2.5000 99.8466
2.7119 2.5000 99.8689
2.8475 2.5000 99.9159
2.9831 2.5000 99.9890
3.1186 2.5000 100.0905
3.2542 2.5000 100.2079
3.3898 2.5000 100.3159
3.5254 2.5000 100.3889
3.6610 2.5000 100.4013
3.7966 2.5000 100.3277
3.9322 2.5000 100.1424
4.0678 2.5000 99.8207
4.2034 2.5000 99.3289
4.3390 2.5000 98.6116
4.4746 2.5000 97.6113
4.6102 2.5000 96.2706
4.7458 2.5000 94.5320
4.8814 2.5000 92.3382
5.0169 2.5000 89.6314
5.1525 2.5000 86.3665
5.2881 2.5000 82.6263
5.4237 2.5000 78.5321
5.5593 2.5000 74.2050
5.6949 2.5000 69.7664
5.8305 2.5000 65.3376
5.9661 2.5000 61.0398
6.1017 2.5000 57.0029
6.2373 2.5000 53.2601
6.3729 2.5000 49.7212
6.5085 2.5000 46.2931
6.6441 2.5000 42.8826
6.7797 2.5000 39.3965
6.9153 2.5000 35.7415
7.0508 2.5000 31.8298
7.1864 2.5000 27.6672
7.3220 2.5000 23.3034
7.4576 2.5000 18.7822
7.5932 2.5000 14.1475
7.7288 2.5000 9.4430
7.8644 2.5000 4.7125
8.0000 2.5000 0.0000
0.0000 2.6923 101.1515
0.1356 2.6923 101.4129
0.2712 2.6923 101.4442
0.4068 2.6923 101.4207
0.5424 2.6923 101.3641
0.6780 2.6923 101.2892
0.8136 2.6923 101.2106
0.9492 2.6923 101.1423
1.0847 2.6923 101.0910
1.2203 2.6923 101.0614
1.3559 2.6923 101.0457
1.4915 2.6923 101.0330
1.6271 2.6923 101.0128
1.7627 2.6923 100.9743
1.8983 2.6923 100.8450
2.0339 2.6923 100.5526
2.1695 2.6923 100.3238
2.3051 2.6923 100.1607
2.4407 2.6923 100.0188
2.5763 2.6923 99.8992
2.7119 2.6923 99.8032
2.8475 2.6923 99.7319
2.9831 2.6923 99.6746
3.1186 2.6923 99.6145
3.2542 2.6923 99.5839
3.3898 2.6923 99.5365
3.5254 2.6923 99.4468
3.6610 2.6923 99.2894
3.7966 2.6923 99.0387
3.9322 2.6923 98.6521
4.0678 2.6923 98.3082
4.2034 2.6923 97.8171
4.3390 2.6923 97.1317
4.4746 2.6923 96.1796
4.6102 2.6923 94.9033
4.7458 2.6923 93.2456
4.8814 2.6923 91.1488
5.0169 2.6923 88.4478
5.1525 2.6923 84.7889
5.2881 2.6923 80.6390
5.4237 2.6923 76.1695
5.5593 2.6923 71.5015
5.6949 2.6923 66.7564
5.8305 2.6923 62.0555
5.9661 2.6923 57.3416
6.1017 2.6923 53.2796
6.2373 2.6923 49.6588
6.3729 2.6923 46.3175
6.5085 2.6923 43.1134
6.6441 2.6923 39.9533
6.7797 2.6923 36.7441
6.9153 2.6923 33.3925
7.0508 2.6923 29.8132
7.1864 2.6923 25.8319
7.3220 2.6923 21.6558
7.4576 2.6923 17.3348
7.5932 2.6923 12.9127
7.7288 2.6923 8.4332
7.8644 2.6923 3.9438
8.0000 2.6923 -0.3400
0.0000 2.8846 102.4404
0.1356 2.8846 102.5279
0.2712 2.8846 103.0872
0.4068 2.8846 103.0108
0.5424 2.8846 102.8800
0.6780 2.8846 102.7307
0.8136 2.8846 102.5778
0.9492 2.8846 102.4341
1.0847 2.8846 102.3535
1.2203 2.8846 102.3296
1.3559 2.8846 102.3189
1.4915 2.8846 102.3113
1.6271 2.8846 102.2962
1.7627 2.8846 102.1765
1.8983 2.8846 101.4800
2.0339 2.8846 101.3160
2.1695 2.8846 100.6179
2.3051 2.8846 100.3933
2.4407 2.8846 100.1185
2.5763 2.8846 99.8660
2.7119 2.8846 99.6371
2.8475 2.8846 99.4329
2.9831 2.8846 99.2017
3.1186 2.8846 98.9562
3.2542 2.8846 98.7747
3.3898 2.8846 98.5713
3.5254 2.8846 98.3184
3.6610 2.8846 97.9906
3.7966 2.8846 97.5431
